tournament_slug,division,group,position,team,played,wins,losses,games_for,games_against,difference,bonus_points,points,qualification
ipt-kochi-city-open-2-0,Men's Beginner,GROUP D,3,Jinto Varghese / Steve Jacob Franco,3,1,2,14,22,-8,0,2,eliminated
ipt-kochi-city-open-2-0,Men's Beginner,GROUP D,4,Vikaas Chhabria / Vedanth P Patel,3,1,2,14,23,-9,0,2,eliminated
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP A,1,Kaiz Jaffer / Varun Dattani,2,2,0,16,5,11,0,4,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP A,2,Revano Wilson / Varghese Paul,2,1,1,9,12,-3,0,2,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP A,3,Afdhel Abdul Wahab / Salman Shaji,2,0,2,8,16,-8,0,0,eliminated
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP B,1,Pranav Erinjery / Aldrith Fernandez,2,2,0,16,2,14,0,4,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP B,2,Azhar Seyad / Anoop KR,2,1,1,9,9,0,0,2,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP B,3,Mukund Muthanna / Mukund Muthanna Partner,2,0,2,2,16,-14,0,0,eliminated
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP C,1,George Pottamkulam / Amit Krishnan,2,2,0,16,7,9,0,4,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP C,2,Sachin Thomas / Parthiv Anilkumar,2,1,1,13,15,-2,0,2,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP C,3,Bijon Kanabar / Pranay Shetty,2,0,2,9,16,-7,0,0,eliminated
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP D,1,Akhil Bansal / Nikhil Bansal,2,2,0,16,13,3,0,4,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP D,2,Mohammed Farhan / Azim Yasir,2,1,1,15,14,1,0,2,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP D,3,Kaushik Gummuluru / Sai Ram Goud,2,0,2,12,16,-4,0,0,eliminated
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP E,1,Mohamed Anzar / Dirsha Kalliyath,2,2,0,16,5,11,0,4,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP E,2,Ayaan Mishra / Viraj Dewan,2,1,1,12,9,3,0,2,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP E,3,Nikhil Kalro / Abhinav Grover,2,0,2,2,16,-14,0,0,eliminated
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP F,1,Arjun Raju / Ganesh Raj,2,2,0,16,7,9,0,4,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP F,2,Anthony Grace Fernandes / Adarsh S,2,1,1,14,11,3,0,2,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP F,3,Gopal Mohan / Nikhil George,2,0,2,4,16,-12,0,0,eliminated
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP G,1,John Paul / Falib Jaleel,2,2,0,16,11,5,0,4,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP G,2,Muhammed Saleem V / Arun Ratnakaran,2,1,1,15,11,4,0,2,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP G,3,Sanal K M / Nigel Paul,2,0,2,7,16,-9,0,0,eliminated
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP H,1,Raaghav Sharma Bagga / Yuvraj mehta,2,2,0,16,3,13,0,4,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP H,2,Mithun Prabhu / Akshith Thomas,2,1,1,10,13,-3,0,2,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Intermediate,GROUP H,3,Sonu Vaidyan / Sadic Ashraf,2,0,2,6,16,-10,0,0,eliminated
ipt-kochi-city-open-2-0,Men's Advance,GROUP A,1,Aditya Jagtap / Krishiv Patel,3,3,0,24,9,15,0,6,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Advance,GROUP A,2,Varshil Trambadiya / Antariksh Mohandas,3,2,1,20,18,2,0,4,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Advance,GROUP A,3,Naesar Jewoor / Siddharth Dabrai,3,1,2,13,22,-9,0,2,eliminated
ipt-kochi-city-open-2-0,Men's Advance,GROUP A,4,Akash Wagh / Vinayak Kumar,3,0,3,16,24,-8,0,0,eliminated
ipt-kochi-city-open-2-0,Men's Advance,GROUP B,1,Samar Malhotra / Aryan Goveas,3,3,0,24,4,20,1,7,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Advance,GROUP B,2,Saish Shelar / Mihir Akolkar,3,2,1,18,16,2,0,4,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Advance,GROUP B,3,Karan Medappa / Shane Biddaiah,3,1,2,14,23,-9,0,2,best_third_qualifier
ipt-kochi-city-open-2-0,Men's Advance,GROUP B,4,Advait Bahl / Kabir Anand,3,0,3,11,24,-13,0,0,eliminated
ipt-kochi-city-open-2-0,Men's Advance,GROUP C,1,Adit Patel / Kavin Vendan,3,3,0,24,13,11,0,6,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Advance,GROUP C,2,Swaraj Deshmukh / Kaivalya Kalamse,3,2,1,22,16,6,0,4,automatic_qualifier
ipt-kochi-city-open-2-0,Men's Advance,GROUP C,3,Syed Imran Yusoof / Kunal Premnarayan,3,1,2,19,17,2,0,2,best_third_qualifier
ipt-kochi-city-open-2-0,Men's Advance,GROUP C,4,Famas Shanavas / Naeem Shahul,3,0,3,5,24,-19,0,0,eliminated
ipt-kochi-city-open-2-0,Men's 40+,GROUP A,1,Syed Imran Yusoof / Kunal Premnarayan,3,3,0,24,4,20,0,6,automatic_qualifier
ipt-kochi-city-open-2-0,Men's 40+,GROUP A,2,Rajiv Dutt / Mahesh Shinde,3,2,1,17,19,-2,0,4,automatic_qualifier
ipt-kochi-city-open-2-0,Men's 40+,GROUP A,3,Arun Chery Jacob / Abhilash Joshi,3,1,2,15,20,-5,0,2,eliminated
ipt-kochi-city-open-2-0,Men's 40+,GROUP A,4,Sandeep Louis / Vivek Venugopal,3,0,3,11,24,-13,0,0,eliminated
ipt-kochi-city-open-2-0,Women's Beginner,GROUP A,1,Niti Mehta / Alisha Aggarwal,3,3,0,24,2,22,2,8,automatic_qualifier
ipt-kochi-city-open-2-0,Women's Beginner,GROUP A,2,Raksha Bhaskar / Gayatri Nair,3,2,1,18,9,9,1,5,automatic_qualifier
